Field	model_id	name	type	growth_properties	parent_id	comments	supplier	external_ids	publications
#Description	Unique identifier for all the PDXs derived from the same tissue sample	Most comman name associate with model. Please use the CCLE name if available	Type of organoid or cell model		Please add the model Id of the model used to generate the model. If the model was not in this set, please refer to it by external id	Add crucial comments about the model that cannot be expressed by other fields	Please provide the suplies brief acronym or name followed by a colon and thel number or name use to reference the model	Depmap accession, Cellusaurus accession or other id. Please place in comma separated list	If model has been part of a published study include pubmed IDs separated by commas. 
#Example	CRC0014LM	LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	organoid, CRC, 3-D other, cell model	embedded 3d culture		orthotopic	fresh	all	PMID: 27771609, PMID: 27771610 
#Format Requirements	free alphanumerical and and -_~.	free text	One of the following: organoid, CRC, 3-D other, cell model	One of the following: embedded 3d culture, adherent, mix of adherent and suspension, suspension		heterotopic, orthotopic, not collected, or not provided.	free text , not collected or not provided 	numerical or all 	PMID: 8 digit format
#Essential?	essential	essential	essential	essential	essential if applicable	essential	essential	desirable	desirable
	HCM-SANG-0289-C15	HCM-SANG-0289-C15	3-D: Organoid				ATCC:PDM-65		
	HCM-BROD-0048-C71	HCM-BROD-0048-C71	2-D: Adherent				ATCC:PDM-228		
	HCM-BROD-0043-C16	HCM-BROD-0043-C16	2-D: Adherent				ATCC:PDM-163		
	HCM-BROD-0035-C49	HCM-BROD-0035-C49	2-D: Adherent				ATCC:PDM-227		
	HCM-BROD-0118-C16	HCM-BROD-0118-C16	3-D: Organoid				ATCC:PDM-161		
	HCM-BROD-0053-C49	HCM-BROD-0053-C49	2-D: Adherent				ATCC:PDM-230		
	HCM-BROD-0199-C71	HCM-BROD-0199-C71	2-D: Adherent				ATCC:PDM-143		
	HCM-BROD-0200-C71	HCM-BROD-0200-C71	2-D: Adherent				ATCC:PDM-144		
	HCM-CSHL-0143-C20	HCM-CSHL-0143-C20	3-D: Organoid				ATCC:PDM-96		
	HCM-BROD-0209-C71	HCM-BROD-0209-C71	2-D: Adherent				ATCC:PDM-147		
	HCM-CSHL-0248-C19	HCM-CSHL-0248-C19	3-D: Organoid				ATCC:PDM-257		
	HCM-BROD-0213-C71	HCM-BROD-0213-C71	2-D: Adherent				ATCC:PDM-148		
	HCM-CSHL-0158-C20	HCM-CSHL-0158-C20	3-D: Organoid				ATCC:PDM-97		
	HCM-SANG-0296-C15	HCM-SANG-0296-C15	3-D: Organoid				ATCC:PDM-72		
	HCM-SANG-0276-C18	HCM-SANG-0276-C18	3-D: Organoid				ATCC:PDM-53		
	HCM-CSHL-0246-C19	HCM-CSHL-0246-C19	3-D: Organoid				ATCC:PDM-191		
	HCM-CSHL-0459-C17	HCM-CSHL-0459-C17	3-D: Organoid				ATCC:PDM-272		
	HCM-CSHL-0142-C18	HCM-CSHL-0142-C18	3-D: Organoid				ATCC:PDM-95		
	HCM-BROD-0120-C15	HCM-BROD-0120-C15	3-D: Organoid				ATCC:PDM-124		
	HCM-BROD-0052-C49	HCM-BROD-0052-C49	2-D: Conditionally reprogrammed cells				ATCC:PDM-229		
	HCM-BROD-0210-C71	HCM-BROD-0210-C71	2-D: Adherent				ATCC:PDM-235		
	HCM-BROD-0104-C71	HCM-BROD-0104-C71	2-D: Adherent				ATCC:PDM-122		
	HCM-BROD-0198-C71	HCM-BROD-0198-C71	2-D: Adherent				ATCC:PDM-153		
	HCM-BROD-0234-C49	HCM-BROD-0234-C49	2-D: Conditionally reprogrammed cells				ATCC:PDM-236		
	HCM-BROD-0236-C34	HCM-BROD-0236-C34	2-D: Adherent				ATCC:PDM-154		
	HCM-CSHL-0382-C19	HCM-CSHL-0382-C19	3-D: Organoid				ATCC:PDM-264		
	HCM-BROD-0103-C71	HCM-BROD-0103-C71	3-D: Other (e.g. neurosphere, air-liquid interface, etc.)				ATCC:PDM-121		
	HCM-CSHL-0322-C20	HCM-CSHL-0322-C20	3-D: Organoid				ATCC:PDM-254		
	HCM-BROD-0116-C16	HCM-BROD-0116-C16	3-D: Organoid				ATCC:PDM-136		
	HCM-BROD-0455-C71	HCM-BROD-0455-C71	3-D: Other (e.g. neurosphere, air-liquid interface, etc.)				ATCC:PDM-244		
	HCM-BROD-0140-C16	HCM-BROD-0140-C16	3-D: Organoid				ATCC:PDM-233		
	HCM-BROD-0419-C71	HCM-BROD-0419-C71	3-D: Other (e.g. neurosphere, air-liquid interface, etc.)				ATCC:PDM-242		
	HCM-BROD-0457-C71	HCM-BROD-0457-C71	3-D: Other (e.g. neurosphere, air-liquid interface, etc.)				ATCC:PDM-245		
	HCM-BROD-0194-C15	HCM-BROD-0194-C15	3-D: Organoid				ATCC:PDM-159		
